Symbol,Company_Name,Sector,Current_Price,Daily_Change_Pct,Volume,Composite_Score,Technical_Score,ML_Score,ML_Confidence,Momentum_Score,Volume_Score,Sentiment_Score,RSI,MACD,Analysis_Date,Start_Price,End_Price,Price_Change,Percent_Change,Direction
AAPL,Apple Inc.,Technology,262.239990234375,3.943873008454002,90370300,70.81766528998784,70.0,50.0,0.0,100.0,80.0,53.176652899878505,,,2025-10-21 14:57:44,249.33999633789062,262.7699890136719,13.42999267578125,5.38621676146242,UP
GOOGL,Alphabet Inc.,Communication Services,256.54998779296875,1.2830575215377449,22328900,62.80625311256495,53.333333333333336,50.0,0.0,100.0,60.0,53.06253112564953,,,2025-10-21 14:57:55,251.02999877929688,250.4600067138672,-0.5699920654296875,-0.22706133458209468,DOWN
MSFT,Microsoft Corporation,Technology,516.7899780273438,0.6250167122328731,14656200,58.01766528998785,53.333333333333336,50.0,0.0,91.0,40.0,53.176652899878505,,,2025-10-21 14:57:49,513.4299926757812,517.6599731445312,4.22998046875,0.8238670371991944,UP
TSLA,"Tesla, Inc.",Consumer Cyclical,447.4299926757813,1.8483519979771268,63496200,57.97275620605573,53.333333333333336,50.0,0.0,91.0,40.0,52.72756206055723,,,2025-10-21 14:58:06,435.1499938964844,442.6000061035156,7.45001220703125,1.7120561442093218,UP
V,Visa Inc.,Financial Services,344.4100036621094,0.7370759325226794,4664500,57.97275620605573,53.333333333333336,50.0,0.0,91.0,40.0,52.72756206055723,,,2025-10-21 14:58:27,345.69000244140625,347.2099914550781,1.519989013671875,0.43969712833379093,UP
META,"Meta Platforms, Inc.",Communication Services,732.1699829101562,2.127155102874445,8885400,57.80625311256495,43.333333333333336,50.0,0.0,100.0,46.66666666666666,53.06253112564953,,,2025-10-21 14:58:11,717.5499877929688,733.27001953125,15.72003173828125,2.190792558805934,UP
UNH,UnitedHealth Group Incorporated,Healthcare,364.4800109863281,2.209760164873642,5983800,57.00382202841691,53.333333333333336,50.0,0.0,85.0,40.0,55.03822028416915,,,2025-10-21 14:58:33,361.1499938964844,365.3699951171875,4.220001220703125,1.1684899050317288,UP
JPM,JPMorgan Chase & Co.,Financial Services,302.3599853515625,1.6131159538753437,6892400,47.17275620605572,43.333333333333336,50.0,0.0,62.0,26.666666666666668,52.72756206055723,,,2025-10-21 14:58:22,305.69000244140625,297.0899963378906,-8.600006103515625,-2.8133095733688736,DOWN
NVDA,NVIDIA Corporation,Technology,182.63999938964844,-0.3165603248501347,128208800,46.01766528998785,43.333333333333336,50.0,0.0,46.0,40.0,53.176652899878505,,,2025-10-21 14:58:16,179.8300018310547,181.16000366210938,1.3300018310546875,0.739588398772407,UP
AMZN,"Amazon.com, Inc.",Consumer Cyclical,216.47999572753903,1.6147214372026486,38795700,45.17275620605572,33.333333333333336,50.0,0.0,62.0,33.333333333333336,52.72756206055723,,,2025-10-21 14:58:00,215.57000732421875,222.02999877929688,6.459991455078125,2.9967023405822193,UP
